Address:,USB0::0x0957::0x179B::MY59127617::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.020729166735,-0.103517574840225,-0.0467713428661227,
,,,-0.0206770834025,-0.0984924498479813,-0.0348115439992398,
,,,-0.02062500007,-0.0934673248557374,-0.0382286293897778,
,,,-0.0205729167375,-0.0884421998634934,-0.0399371720850468,
,,,-0.020520833405,-0.0834170748712495,-0.0339572726516053,
,,,-0.0204687500725,-0.0783919498790056,-0.0313944586087018,
,,,-0.02041666674,-0.0728643123875372,-0.0382286293897778,
,,,-0.0203645834075,-0.0673366748960689,-0.0390829007374123,
,,,-0.020312500075,-0.0623115499038249,-0.0245602878276259,
,,,-0.0202604167425,-0.0567839124123566,-0.0305401872610673,
,,,-0.02020833341,-0.0512562749208882,-0.0356658153468743,
,,,-0.0201562500775,-0.0457286374294199,-0.0254145591752604,
,,,-0.020104166745,-0.040703512437176,-0.0219974737847224,
,,,-0.0200520834125,-0.0351758749457076,-0.0313944586087018,
,,,-0.02000000008,-0.0301507499534637,-0.0407914434326813,
,,,-0.0199479167475,-0.0251256249612197,-0.0305401872610673,
,,,-0.019895833415,-0.019095474970527,-0.0245602878276259,
,,,-0.0198437500825,-0.0135678374790587,-0.0305401872610673,
,,,-0.01979166675,-0.00753768748836592,-0.0237060164799914,
,,,-0.0197395834175,-0.00150753749767318,-0.0313944586087018,
,,,-0.019687500085,0.00502512499224395,-0.0254145591752604,
,,,-0.0196354167525,0.0105527624837123,-0.0348115439992398,
,,,-0.01958333342,0.016582912474405,-0.0407914434326813,
,,,-0.0195312500875,0.0226130624650978,-0.0160175743512809,
,,,-0.019479166755,0.0286432124557905,-0.0262688305228949,
,,,-0.0194270834225,0.0351758749457076,-0.0211432024370879,
,,,-0.01937500009,0.0412060249364004,-0.0168718456989154,
,,,-0.0193229167575,0.0472361749270931,-0.012600488960743,
,,,-0.019270833425,0.0532663249177858,-0.0262688305228949,
,,,-0.0192187500925,0.0582914499100298,-0.0143090316560119,
,,,-0.01916666676,0.0648241123999469,-0.0296859159134328,
,,,-0.0191145834275,0.0708542623906396,-0.0262688305228949,
,,,-0.019062500095,0.076381899882108,-0.0279773732181638,
,,,-0.0190104167625,0.0814070248743519,-0.0296859159134328,
,,,-0.01895833343,0.0869346623658203,-0.0245602878276259,
,,,-0.0189062500975,0.0924622998572886,-0.0194346597418189,
,,,-0.018854166765,0.0979899373487569,-0.0288316445657983,
,,,-0.0188020834325,0.103517574840225,-0.0194346597418189,
,,,-0.0187500001,0.108542699832469,-0.0228517451323569,
,,,-0.0186979167675,0.113567824824713,-0.0228517451323569,
,,,-0.018645833435,0.118592949816957,-0.0160175743512809,
,,,-0.0185937501025,0.124120587308425,-0.012600488960743,
,,,-0.01854166677,0.129145712300669,-0.0160175743512809,
,,,-0.0184895834375,0.134170837292913,-0.00662058952730149,
,,,-0.018437500105,0.139195962285157,-0.00747486087493598,
,,,-0.0183854167725,0.144221087277401,-0.005766318179667,
,,,-0.01833333344,0.149246212269645,-0.0185803883941844,
,,,-0.0182812501075,0.153768824762665,-0.0160175743512809,
,,,-0.018229166775,0.158793949754909,-0.00320350413676351,
,,,-0.0181770834425,0.163819074747153,-0.010891946265474,
,,,-0.01812500011,0.168341687240172,-0.00662058952730149,
,,,-0.0180729167775,0.173366812232416,-0.005766318179667,
,,,-0.018020833445,0.17839193722466,-0.0160175743512809,
,,,-0.0179687501125,0.183417062216904,-0.0211432024370879,
,,,-0.01791666678,0.187939674709924,-0.0160175743512809,
,,,-0.0178645834475,0.192964799702168,-0.0100376749178395,
,,,-0.017812500115,0.197487412195187,-0.00747486087493598,
,,,-0.0177604167825,0.202512537187431,-0.0117462176131085,
,,,-0.01770833345,0.207035149680451,-0.00662058952730149,
,,,-0.0176562501175,0.212060274672695,-0.00405777548439801,
,,,-0.017604166785,0.216582887165714,-0.00405777548439801,
,,,-0.0175520834525,0.221608012157958,-0.0143090316560119,
,,,-0.01750000012,0.226130624650978,-0.005766318179667,
,,,-0.0174479167875,0.230150724644773,0.00704775203485042,
,,,-0.017395833455,0.234673337137792,-0.0100376749178395,
,,,-0.0173437501225,0.239195949630812,-0.00320350413676351,
,,,-0.01729166679,0.243216049624607,-0.012600488960743,
,,,-0.0172395834575,0.247738662117627,-0.00320350413676351,
,,,-0.017187500125,0.251758762111422,-0.00320350413676351,
,,,-0.0171354167925,0.255276349605992,-0.00234923278912902,
,,,-0.01708333346,0.259296449599788,0.00363066664431244,
,,,-0.0170312501275,0.262814037094358,0.00790202338248491,
,,,-0.016979166795,0.266834137088154,0.0181532795540988,
,,,-0.0169270834625,0.270351724582724,0.0138819228159264,
,,,-0.01687500013,0.274371824576519,0.00533920933958143,
,,,-0.0168229167975,0.27788941207109,-0.00149496144149452,
,,,-0.016770833465,0.281406999565661,0.00790202338248491,
,,,-0.0167187501325,0.284924587060232,0.0258417216828093,
,,,-0.0166666668,0.288944687054027,0.00790202338248491,
,,,-0.0166145834675,0.292462274548598,0.0198618222493678,
,,,-0.016562500135,0.295979862043168,0.0113191087730229,
,,,-0.0165104168025,0.298994937038515,0.0172990082064644,
,,,-0.01645833347,0.302512524533086,0.0352387065067887,
,,,-0.0164062501375,0.306030112027656,0.0301130784209818,
,,,-0.016354166805,0.309045187023003,0.0224246362922713,
,,,-0.0163020834725,0.312060262018349,0.0403643345925957,
,,,-0.01625000014,0.315075337013695,0.0463442340260372,
,,,-0.0161979168075,0.317587899509817,0.0352387065067887,
,,,-0.016145833475,0.320100462005939,0.0275502643780783,
,,,-0.0160937501425,0.322613024502061,0.0574497615452856,
,,,-0.01604166681,0.325125586998183,0.0429271486354992,
,,,-0.0159895834775,0.327638149494305,0.0506155907642096,
,,,-0.015937500145,0.330150711990427,0.0471985053736717,
,,,-0.0158854168125,0.332160761987325,0.0617211182834581,
,,,-0.01583333348,0.334170811984222,0.0608668469358236,
,,,-0.0157812501475,0.335678349481896,0.071972374455072,
,,,-0.015729166815,0.337185886979569,0.077098002540879,
,,,-0.0156770834825,0.338693424477242,0.0830779019743204,
,,,-0.01562500015,0.340200961974915,0.0882035300601274,
,,,-0.0155729168175,0.341708499472588,0.0967462435364723,
,,,-0.015520833485,0.342713524471037,0.0924748867982998,
,,,-0.0154687501525,0.343718549469486,0.0958919721888378,
,,,-0.01541666682,0.34422106196871,0.0890578014077619,
,,,-0.0153645834875,0.345226086967159,0.0916206154506654,
,,,-0.015312500155,0.345728599466383,0.10016332892701,
,,,-0.0152604168225,0.345728599466383,0.0967462435364723,
,,,-0.01520833349,0.346231111965608,0.0839321733219549,
,,,-0.0151562501575,0.346231111965608,0.0805150879314169,
,,,-0.015104166825,0.346231111965608,0.07538945984561,
,,,-0.0150520834925,0.346231111965608,0.0762437311932445,
,,,-0.01500000016,0.346231111965608,0.071972374455072,
,,,-0.0149479168275,0.345728599466383,0.068555289064534,
,,,-0.014895833495,0.345728599466383,0.0677010177168995,
,,,-0.0148437501625,0.345226086967159,0.0574497615452856,
,,,-0.01479166683,0.344723574467935,0.0540326761547476,
,,,-0.0147395834975,0.344723574467935,0.0386557918973267,
,,,-0.014687500165,0.343718549469486,0.0446356913307682,
,,,-0.0146354168325,0.343718549469486,0.0309673497686163,
,,,-0.0145833335,0.343216036970261,0.0232789076399058,
,,,-0.0145312501675,0.342211011971813,0.0232789076399058,
,,,-0.014479166835,0.341708499472588,0.0130276514682919,
,,,-0.0144270835025,0.341205986973364,0.0138819228159264,
,,,-0.01437500017,0.34070347447414,0.0138819228159264,
,,,-0.0143229168375,0.339698449475691,0.00875629473011941,
,,,-0.014270833505,0.339698449475691,0.00533920933958143,
,,,-0.0142187501725,0.338693424477242,0.00790202338248491,
,,,-0.01416666684,0.338190911978018,0.00533920933958143,
,,,-0.0141145835075,0.337185886979569,-0.00747486087493598,
,,,-0.014062500175,0.336683374480344,-0.0151633030036464,
,,,-0.0140104168425,0.33618086198112,-0.0160175743512809,
,,,-0.01395833351,0.335175836982671,-0.0177261170465499,
,,,-0.0139062501775,0.334170811984222,-0.0151633030036464,
,,,-0.013854166845,0.333668299484998,-0.00747486087493598,
,,,-0.0138020835125,0.333165786985774,-0.0262688305228949,
