Address:,USB0::0x0957::0x179B::MY59127617::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.01791666678,0.318090412009042,0.0378015205496922,
,,,-0.0178645834475,0.325125586998183,0.0463442340260372,
,,,-0.017812500115,0.332160761987325,0.0514698621118441,
,,,-0.0177604167825,0.339195936976466,0.0967462435364723,
,,,-0.01770833345,0.346733624464832,0.130062826094218,
,,,-0.0176562501175,0.353768799453974,0.188153277733363,
,,,-0.017604166785,0.360803974443115,0.270163327106275,
,,,-0.0175520834525,0.367839149432257,0.417097998899408,
,,,-0.01750000012,0.374371811922174,0.638354277936742,
,,,-0.0174479167875,0.380904474412091,0.933077892870642,
,,,-0.017395833455,0.387939649401233,1.04071608267259,
,,,-0.0173437501225,0.39447231189115,0.861319099669345,
,,,-0.01729166679,0.401004974381067,0.511922118486837,
,,,-0.0172395834575,0.407537636870984,0.223178402986377,
,,,-0.017187500125,0.414070299360901,0.0395100632449612,
,,,-0.0171354167925,0.419597936852369,-0.0775251113809645,
,,,-0.01708333346,0.426130599342287,-0.145866819191724,
,,,-0.0170312501275,0.432160749332979,-0.179183401749469,
,,,-0.016979166795,0.437688386824448,-0.203102999483235,
,,,-0.0169270834625,0.443216024315916,-0.231293953955173,
,,,-0.01687500013,0.448743661807384,-0.214208527002484,
,,,-0.0168229167975,0.454773811798077,-0.223605511826463,
,,,-0.016770833465,0.459798936790321,-0.215062798350118,
,,,-0.0167187501325,0.464824061782565,-0.214208527002484,
,,,-0.0166666668,0.470351699274033,-0.22873113991227,
,,,-0.0166145834675,0.475376824266277,-0.195414557354525,
,,,-0.016562500135,0.480904461757746,-0.195414557354525,
,,,-0.0165104168025,0.485427074250765,-0.188580386573449,
,,,-0.01645833347,0.489949686743785,-0.172349230968393,
,,,-0.0164062501375,0.494472299236804,-0.168932145577855,
,,,-0.016354166805,0.498994911729824,-0.167223602882586,
,,,-0.0163020834725,0.504020036722068,-0.168932145577855,
,,,-0.01625000014,0.508040136715863,-0.147575361886993,
,,,-0.0161979168075,0.512562749208882,-0.151846718625166,
,,,-0.016145833475,0.516582849202678,-0.133907020324841,
,,,-0.0160937501425,0.520100436697248,-0.115113050676882,
,,,-0.01604166681,0.524120536691044,-0.154409532668069,
,,,-0.0159895834775,0.527638124185614,-0.121947221457958,
,,,-0.015937500145,0.530653199180961,-0.105716065852903,
,,,-0.0158854168125,0.533165761677083,-0.102298980462365,
,,,-0.01583333348,0.536180836672429,-0.113404507981613,
,,,-0.0157812501475,0.538693399168551,-0.0963190810289234,
,,,-0.015729166815,0.540703449165449,-0.0826507394667715,
,,,-0.0156770834825,0.543216011661571,-0.083505010814406,
,,,-0.01562500015,0.545728574157692,-0.074962297338061,
,,,-0.0155729168175,0.547236111655366,-0.0758165686856955,
,,,-0.015520833485,0.548743649153039,-0.078379382728599,
,,,-0.0154687501525,0.550251186650712,-0.0886306389002129,
,,,-0.01541666682,0.551758724148385,-0.0672738552093506,
,,,-0.0153645834875,0.55226123664761,-0.0655653125140816,
,,,-0.015312500155,0.553266261646058,-0.0638567698188126,
,,,-0.0152604168225,0.554271286644507,-0.0459170715184882,
