Address:,USB0::0x0957::0x179B::MY59127617::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.0359888,0.746130592189729,-0.000282673165202141,
,,,-0.035888,0.746130592189729,-0.000282673165202141,
,,,-0.0357872,0.76221099216491,-0.000282673165202141,
,,,-0.0356864,0.7702511921525,0.0198178291320801,
,,,-0.0355856,0.77829139214009,0.0399183314293623,
,,,-0.0354848,0.786331592127681,-0.502795230597258,
,,,-0.035384,0.786331592127681,-0.502795230597258,
,,,-0.0352832,0.802411992102861,0.401727372780442,
,,,-0.0351824,0.802411992102861,0.0801193360239267,
,,,-0.0350816,0.810452192090452,0.0801193360239267,
,,,-0.0349808,0.818492392078042,-0.080684682354331,
,,,-0.03488,0.818492392078042,-0.0404836777597666,
,,,-0.0347792,0.810452192090452,-0.0203831754624844,
,,,-0.0346784,0.818492392078042,-0.0203831754624844,
,,,-0.0345776,0.826532592065632,-0.0404836777597666,
,,,-0.0344768,0.826532592065632,0.0198178291320801,
,,,-0.034376,0.818492392078042,-0.0203831754624844,
,,,-0.0342752,0.818492392078042,-0.0203831754624844,
,,,-0.0341744,0.826532592065632,-0.0203831754624844,
,,,-0.0340736,0.818492392078042,-0.0203831754624844,
,,,-0.0339728,0.826532592065632,0.0399183314293623,
,,,-0.033872,0.818492392078042,-0.100785184651613,
,,,-0.0337712,0.810452192090452,0.120320340618491,
,,,-0.0336704,0.802411992102861,-0.0203831754624844,
,,,-0.0335696,0.810452192090452,-0.000282673165202141,
,,,-0.0334688,0.810452192090452,-0.0404836777597666,
,,,-0.033368,0.810452192090452,-0.0203831754624844,
,,,-0.0332672,0.810452192090452,-0.0203831754624844,
,,,-0.0331664,0.802411992102861,-0.0203831754624844,
,,,-0.0330656,0.810452192090452,0.0399183314293623,
,,,-0.0329648,0.802411992102861,-0.000282673165202141,
,,,-0.032864,0.794371792115271,0.0198178291320801,
,,,-0.0327632,0.794371792115271,-0.0203831754624844,
,,,-0.0326624,0.794371792115271,-0.0203831754624844,
,,,-0.0325616,0.786331592127681,-0.0203831754624844,
,,,-0.0324608,0.786331592127681,0.0600188337266445,
,,,-0.03236,0.77829139214009,0.120320340618491,
,,,-0.0322592,0.77829139214009,0.0801193360239267,
,,,-0.0321584,0.77829139214009,0.0399183314293623,
,,,-0.0320576,0.76221099216491,-0.0203831754624844,
,,,-0.0319568,0.75417079217732,-0.0605841800570488,
,,,-0.031856,0.746130592189729,0.0399183314293623,
,,,-0.0317552,0.738090392202139,-0.080684682354331,
,,,-0.0316544,0.730050192214549,0.0198178291320801,
,,,-0.0315536,0.713969792239368,-0.000282673165202141,
,,,-0.0314528,0.697889392264187,0.0198178291320801,
,,,-0.031352,0.681808992289007,-0.0404836777597666,
,,,-0.0312512,0.673768792301416,-0.0605841800570488,
,,,-0.0311504,0.657688392326236,-0.0203831754624844,
,,,-0.0310496,0.649648192338645,-0.000282673165202141,
,,,-0.0309488,0.641607992351055,-0.0404836777597666,
,,,-0.030848,0.625527592375875,-0.0203831754624844,
,,,-0.0307472,0.609447192400694,0.0600188337266445,
,,,-0.0306464,0.601406992413104,0.0801193360239267,
,,,-0.0305456,0.585326592437923,0.0399183314293623,
,,,-0.0304448,0.569246192462742,-0.0203831754624844,
,,,-0.030344,0.561205992475152,-0.0404836777597666,
,,,-0.0302432,0.537085392512381,-0.0203831754624844,
,,,-0.0301424,0.529045192524791,-0.0203831754624844,
,,,-0.0300416,0.5210049925372,-0.000282673165202141,
,,,-0.0299408,0.51296479254961,-0.000282673165202141,
,,,-0.02984,0.488844192586839,-0.0203831754624844,
,,,-0.0297392,0.472763792611659,0.0399183314293623,
,,,-0.0296384,0.464723592624068,0.0399183314293623,
,,,-0.0295376,0.448643192648888,0.0600188337266445,
,,,-0.0294368,0.440602992661297,0.0801193360239267,
,,,-0.029336,0.416482392698526,0.140420842915773,
,,,-0.0292352,0.408442192710936,0.220822852104902,
,,,-0.0291344,0.400401992723346,0.421827875077724,
,,,-0.0290336,0.384321592748165,0.864038925617933,
,,,-0.0289328,0.368241192772985,0.843938423320651,
,,,-0.028832,0.352160792797804,0.220822852104902,
,,,-0.0287312,0.336080392822623,-0.0404836777597666,
,,,-0.0286304,0.319999992847443,-0.140986189246178,
,,,-0.0285296,0.311959792859852,-0.140986189246178,
,,,-0.0284288,0.295879392884672,-0.221388198435307,
,,,-0.028328,0.287839192897081,-0.16108669154346,
,,,-0.0282272,0.271758792921901,-0.201287696138024,
,,,-0.0281264,0.25567839294672,-0.181187193840742,
,,,-0.0280256,0.239597992971539,-0.16108669154346,
,,,-0.0279248,0.223517592996359,-0.120885686948895,
,,,-0.027824,0.223517592996359,-0.16108669154346,
,,,-0.0277232,0.199396993033588,-0.100785184651613,
,,,-0.0276224,0.191356793045998,-0.0404836777597666,
,,,-0.0275216,0.183316593058407,-0.080684682354331,
,,,-0.0274208,0.167236193083227,-0.0203831754624844,
,,,-0.02732,0.151155793108046,0.421827875077724,
,,,-0.0272192,0.143115593120456,-0.362091714516282,
,,,-0.0271184,0.127035193145275,-0.140986189246178,
,,,-0.0270176,0.110954793170094,-0.120885686948895,
